TagName;TagZahl;Monat;Titel;Personen;Ort;Land;EventHash;TimeAppoint;TimeSeen;TimeDeleted
Wed;08;Jan;Commissioner Stella Kyriakides receives representatives of the European Cancer Organisation (ECCO);Stella Kyriakides;NA;NA;8199eb17613d3e1d34f2f9b59d5de6329a41aa6f;2020-01-08;1578438000;NA
Thu;09;Jan;President Ursula von der Leyen participates, together with the College of Commissioners, in the new year’s reception hosted by His Majesty the King of the Belgians;Ursula von der Leyen;Brussels;Belgium;fbaef3e9b47967cff681465b7dd00361b016bf33;2020-01-09;1578524400;NA
Fri;10;Jan;President Ursula von der Leyen, together with the College of Commissioners, holds official meetings in the framework of the beginning of the Croatian Presidency of the Council of the European Union;Ursula von der Leyen;Zagreb;Croatia;7aec1baa76574097649a48016223727669f61c45;2020-01-10;1578610800;NA
Thu-Fri;09-10;Jan;College visit to Croatia - start of the presidency of the Council of the European Union.;Maroš Šefčovič;NA;NA;fac5011019bb26ae6532dc5fba397b66fb31839c;2020-01-09;1578524400;NA
Wed;08;Jan;President Ursula von der Leyen delivers a speech at the London School of Economics;Ursula von der Leyen;London;United Kingdom;d74f63a4728b754aa304e0c3b8366450aa8c6931;2020-01-08;1578438000;NA
Wed;08;Jan;President Ursula von der Leyen meets Mr Boris Johnson, Prime Minister of the United Kingdom;Ursula von der Leyen;London;United Kingdom;7b703e71ef8e27e6b5c72450d6bfbf9c44a41654;2020-01-08;1578438000;NA
Thu;09;Jan;President Ursula von der Leyen, together with the College of Commissioners, participates in a dinner hosted by Ms Kolinda Grabar-Kitarović, President of Croatia;Ursula von der Leyen;Zagreb;Croatia;022768ba01d4d079e0e00c8309a3e06181bc16a8;2020-01-09;1578524400;NA
Fri;10;Jan;President Ursula von der Leyen meets Mr Andrej Plenković, Prime Minister of Croatia;Ursula von der Leyen;Zagreb;Croatia;46e9aa9030f74efd4a4d18a5eca3571aaaf73713;2020-01-10;1578610800;NA
Thu;09;Jan;President Ursula von der Leyen receives Mr Ludovic Orban, Prime Minister of Romania;Ursula von der Leyen;Brussels;Belgium;f67520671f4f1657b4f466b159228770581d4726;2020-01-09;1578524400;NA
Fri;10;Jan;President Ursula von der Leyen holds a joint press conference with Mr Andrej Plenković, Prime Minister of Croatia;Ursula von der Leyen;Zagreb;Croatia;6373b3adc300737371011c4701e09c82c5582c0a;2020-01-10;1578610800;NA
Fri;10;Jan;President Ursula von der Leyen meets Mr Gordan Jandroković, Speaker of the Croatian Parliament;Ursula von der Leyen;Zagreb;Croatia;cabab7b5af109129f5280452f6c42f91e93dd9be;2020-01-10;1578610800;NA
Fri;10;Jan;President Ursula von der Leyen, together with the College of Commissioners, meets the Members of the Croatian Government;Ursula von der Leyen;Zagreb;Croatia;a72187f0da2828f896629c510b29295c058357c3;2020-01-10;1578610800;NA
Fri;10;Jan;President Ursula von der Leyen, together with the College of Commissioners, participates in a lunch hosted by Mr Andrej Plenković, Prime Minister of Croatia;Ursula von der Leyen;Zagreb;Croatia;a286cdcf81786af85b5da067e1785d8bf55bd309;2020-01-10;1578610800;NA
Tue;14;Jan;Commissioner Kyriakides meets with Ms Dolors Montserrat, Chair of the Committee on Petitions and Member of the Committee on the Environment, Public Health and Food Safety of the European Parliament;Stella Kyriakides;Strasbourg;France;ade231339258f0a2facf330452167dfc9ba7b6df;2020-01-14;1578956400;NA
Tue;14;Jan;Commissioner Kyriakides meets with Ms Sara Cerdas Member of the Committee on the Environment, Public Health and Food Safety of the European Parliament.;Stella Kyriakides;Strasbourg;France;b5d8c37a0de1990e80de5301ef6f4c9bc4c5e26f;2020-01-14;1578956400;NA
Tue;14;Jan;Addresses the Plenary of the European Parliament on the beginning of the Croatian Presidency of the Council of the EU;Ursula von der Leyen;Strasbourg;France;f4a1891e9d67f2df2f8508b18b61ac7e649d3c43;2020-01-14;1578956400;NA
Tue;14;Jan;Meeting of the College of Commissioners;Ursula von der Leyen;Strasbourg;France;b1787934a5a10ecccf8e668bb267c3718ea3dde4;2020-01-14;1578956400;NA
Tue;14;Jan;Attends a Breakfast meeting with Renew Europe EMPL Members;Valdis Dombrovskis;Strasbourg;France;dd189f6526a71e88b7cacd424eb809d3968fcdde;2020-01-14;1578956400;NA
Tue;14;Jan;Attends the College meeting;Valdis Dombrovskis;Strasbourg;France;8567c331fe770c09a33aa19aed333de7d40caeca;2020-01-14;1578956400;NA
Tue;14;Jan;Attends the EP Plenary session - Commission statement - Sustainable investment plan, just transition fund and Roadmap on Social Europe;Valdis Dombrovskis;Strasbourg;France;a319fa8fbe0959cbfca96bf8947e8afaecdf5b31;2020-01-14;1578956400;NA
